Title,member-company,phone-number,e-mail,address,member-home-type,member-design-style,member-preferred-budget,member-short-detail,member-accreditation,Date,"Post Type",Permalink,"Image URL","Image Title","Image Featured"
"June Interior Design","June Interior Design","'+65 9155 6958",roman_juneid@hotmail.com,"63 Ubi Road 1, #03-48, Oxley Bizhub 1, Singapore 40872","HDB (BTO)",Asian,30001-50000,"<p>Everything we do is about you. From designers who create exciting and practical designs, to skilled workers who know exactly how you want - we prioritize what you need to deliver to you your most desired.</p>
<p>A full service Interior Design and Renovation team with more than 10 years of experience, we always ensure sound design to meet your lifestyle.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-19,member-list,https://renoresearch.sg/member-list/june-interior-design/,https://renoresearch.sg/wp-content/uploads/2025/02/June-Interior-Design-Logo.jpg,"June Interior Design Logo",https://renoresearch.sg/wp-content/uploads/2025/02/June-Interior-Design-Logo.jpg
"R1 Contractor","R1 Contractor Pte Ltd","'+65 8749 5548",tony@r1contractor.com,"25 Kaki Bukit Rd 4, #05-77 Synergy @ Kaki Bukit, Singapore 417800","HDB (BTO)",Asian,30001-50000,"<p>We strive to help clients build the ✨Right home, for the✨Right beginning, to create the✨Right memories with the✨Right One Contractor.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-19,member-list,https://renoresearch.sg/member-list/r1-contractor/,https://renoresearch.sg/wp-content/uploads/2025/02/R1-Contractor-Pte-Ltd-Logo.jpg,"R1 Contractor Pte Ltd Logo",https://renoresearch.sg/wp-content/uploads/2025/02/R1-Contractor-Pte-Ltd-Logo.jpg
"Aart Boxx Interior","Aart Boxx Interior Consultancy Pte Ltd","'+65 8198 8578",askme@aartboxx.com,"344 Joo Chiat Rd, Singapore 427595","HDB (BTO)",Asian,30001-50000,"<p>✨ Turn your dream space into reality.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-19,member-list,https://renoresearch.sg/member-list/aart-boxx-interior/,https://renoresearch.sg/wp-content/uploads/2025/02/Aart-Boxx-Interior-Logo.jpg,"Aart Boxx Interior Logo",https://renoresearch.sg/wp-content/uploads/2025/02/Aart-Boxx-Interior-Logo.jpg
"The 80's Studio","The 80's Studio Pte Ltd","'+65 8333 3432",enquiry@the80studio.com.sg,"81 Ubi Ave 4, Singapore 408830","HDB (BTO)",Asian,30001-50000,"<p>Live to Design, Design to Live</p>
<p>Professional Interior Design Consultancy EST.2012</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-19,member-list,https://renoresearch.sg/member-list/the-80s-studio/,https://renoresearch.sg/wp-content/uploads/2025/02/The-80s-Studio-Pte-Ltd-Logo.jpg,"The 80's Studio Pte Ltd Logo",https://renoresearch.sg/wp-content/uploads/2025/02/The-80s-Studio-Pte-Ltd-Logo.jpg
"Square Room Interior Design","Square Room Interior Design Pte Ltd","'+65 9062 5163",daniellim@squareroomid.com,"No 432, Balestier Road #01-432 Public Mansion Singapore 329813","HDB (BTO)",Asian,30001-50000,"<p>We are innovative architects</p>
<p>Our directors have over 20 years of experience in the Singapore market, supported by a strong team of design executives and our very own in-house designers. So whether you`re looking for a home or condo interior designer, Square Room has got you covered.</p>
<p>Because we believe in customized solutions for our clients, we even have our own carpentry workshop located along Admiralty Street. To ensure quality and professionalism, our staff are continuously upgrading their knowledge and proficiency. The next time you`re looking for someone to do your interior design-whether it’s for a condo, landed property, DBSS or HDB – call us!</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-19,member-list,https://renoresearch.sg/member-list/square-room-interior-design/,https://renoresearch.sg/wp-content/uploads/2025/02/Square-Room-Decor-Logo.jpg,"Square Room Decor Logo",https://renoresearch.sg/wp-content/uploads/2025/02/Square-Room-Decor-Logo.jpg
"Blue Sky Renovation","Blue Sky (SG) Pte Ltd","'+65 8522 1943",blueskysg23@gmail.com,"49 Teban Gardens Road #01-585 (600049)","HDB (BTO)",Asian,30001-50000,"<p>At Blue Sky Renovation, we are passionate about helping homeowners create the perfect living space. With years of experience in the home renovation and construction industry, we have the expertise and knowledge to ensure that your project is completed on time, on budget, and to your exact specifications. Contact us today to learn more about how we can help you transform your home.</p>
<p>We specialize in new homes, extensions &amp; renovations. We take a personal approach on new builds, making sure that the home feels right for you and making your place a very special space to create memories.</p>
<p>We build for clients who want a home that has been custom built to their specifications and requirements. Our vision is to make your dreams a reality and help create more wonderful memories in your life.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-19,member-list,https://renoresearch.sg/member-list/blue-sky-renovation/,https://renoresearch.sg/wp-content/uploads/2025/02/Blue-Sky-Renovation-Logo.jpg,"Blue Sky Renovation Logo",https://renoresearch.sg/wp-content/uploads/2025/02/Blue-Sky-Renovation-Logo.jpg
"CT CONTRACTOR","CT CONTRACTOR PTE LTD","'+65 9431 8326",shung7763@hotmail.com,"6D Mandai Estate, M-Space #03-02/03 Singapore 729938","HDB (BTO)",Asian,30001-50000,"<p>Direct Tradesmen ready to serve you. Having our own workshop and office in Singapore (Mandai Estate) allows us to response quickly to our customer needs.</p>
<p>Beautiful wall &amp; floor finishings and custom-made furniture complement your interior space to bring out the best in your home.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-19,member-list,https://renoresearch.sg/member-list/ct-contractor/,https://renoresearch.sg/wp-content/uploads/2025/02/CT-Contractor-Logo.png,"CT Contractor Logo",https://renoresearch.sg/wp-content/uploads/2025/02/CT-Contractor-Logo.png
"Butler Interior","Butler Interior","'+65 8588 8185",info@butlerinterior.com,"239A Joo Chiat Road Singapore 427496","HDB (BTO)",Asian,30001-50000,"<p>At Butler Interior, our team is dedicated to providing a unique home that no one else has. We do not operate a ‘one size fits all’ approach and every dream home is designed and created according to your specific requirements.</p>
<p>This provides a quality product with greater versatility in overcoming specific design requirements or meeting the challenges of unusual installation needs. Our values, commitment and reliability are what set us apart. This is the Butler way. After all, we are homeowners too.</p>
<p>Come and speak with us, we think you will be pleasantly surprised!</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-19,member-list,https://renoresearch.sg/member-list/butler-interior/,https://renoresearch.sg/wp-content/uploads/2025/02/Butler-Interior-Logo.jpg,"Butler Interior Logo",https://renoresearch.sg/wp-content/uploads/2025/02/Butler-Interior-Logo.jpg
"Design Library 设计馆","Design Library 设计馆","'+65 9845 2041",luke06lee@gmail.com,Singapore,"HDB (BTO)",Asian,30001-50000,"<p>Introducing Design Library, born from the legacy of a prestigious interior design firm with over two decades of unparalleled expertise. With a rich history stepped in creativity and innovation, our firm stands as a beacon of excellence in the realm of interior design.</p>
<p>Guided by a passion of captivating spaces and unwavering commitment to quality, we bring a wealth of experience to every project we undertake. From luxurious residential estates to chic commercial spaces, we blend timeless elegance with contemporary flair to exceed the expectations of our discerning clientele.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-19,member-list,https://renoresearch.sg/member-list/design-library-%e8%ae%be%e8%ae%a1%e9%a6%86/,https://renoresearch.sg/wp-content/uploads/2025/02/Design-Library-设计馆-Logo.jpg,"Design Library 设计馆 Logo",https://renoresearch.sg/wp-content/uploads/2025/02/Design-Library-设计馆-Logo.jpg
"YPL INTERIOR","YPL INTERIOR PTE. LTD.","'+65 9668 6892",ypl.interior@gmail.com,"53 STRATHMORE AVENUE #32-163 FORFAR HEIGHTS SINGAPORE (140053)","HDB (BTO)",Asian,30001-50000,"<p>At YPL Interior, we are dedicated to creating spaces that foster happiness and reflect the unique tastes of each client. We understand that every individual has their own vision for their home and our goal is to bring that vision to life, allowing them to share joyful moments with their loved ones.</p>
<p>Our promise is to serve our customers wholeheartedly, ensuring they move into a space that feels like home. We strive to help them achieve their dream living environment, tailored to their lifestyle and designed to provide endless comfort and happiness.</p>
<p>​Don't hesitate to reach out to us! We can help transform your house into the home of your dreams—completely obligation-free. Let us turn your vision into reality!</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-20,member-list,https://renoresearch.sg/member-list/ypl-interior/,https://renoresearch.sg/wp-content/uploads/2025/02/YPL-Interior-Logo.jpg,"YPL Interior Logo",https://renoresearch.sg/wp-content/uploads/2025/02/YPL-Interior-Logo.jpg
"John Smith Interior","John Smith Interior","'+65 9452 2102",edwinfong@johnsmithinterior.com.sg,"180 Paya Lebar Rd, #11-04D Yi Guang Factory Building, Singapore 409032","HDB (BTO)",Asian,30001-50000,"<p>Despite being only established in 2022, John Smith Interior boast a wealth of experience in both residential and commercial interior design.</p>
<p>With an extraordinary team of talented designers, we strive to be an award-winning interior design studio inspired by creativity and immaculate standards.</p>
<p>We work closely with highly-skilled professionals and different partners within this industry to oversee every step of the process, making it as carefree as possible for the stakeholders.</p>
<p>Vastly experienced in different types of interior styles, every one of our projects is speaks originality, functionality and the Owners personality.</p>
<p>We like to invite you to join us in this exciting journey to make your dream home come true.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-20,member-list,https://renoresearch.sg/member-list/john-smith-interior/,https://renoresearch.sg/wp-content/uploads/2025/02/John-Smith-Interior-Logo.jpg,"John Smith Interior Logo",https://renoresearch.sg/wp-content/uploads/2025/02/John-Smith-Interior-Logo.jpg
"Mikaboo Interior Design","Mikaboo Interior Design","'+65 8842 2274",hello@mikaboo.sg,"2 Pereira Road #03-01 Singapore 368024, 2Connectt@TS, Singapore 368024","HDB (BTO)",Asian,30001-50000,"<p>We are an interior design firm based in Singapore.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-20,member-list,https://renoresearch.sg/member-list/mikaboo-interior-design/,https://renoresearch.sg/wp-content/uploads/2025/02/Mikaboo-Interior-Design-Logo.jpg,"Mikaboo Interior Design Logo",https://renoresearch.sg/wp-content/uploads/2025/02/Mikaboo-Interior-Design-Logo.jpg
"Loft Concept SG","Loft Concept Design &amp; Architecture","'+65 8533 7311",loftconceptsg@gmail.com,"48 Lucky Heights, Singapore 467602","HDB (BTO)",Asian,30001-50000,"<p>Architectural Designer<br />
Singapore Based<br />
Commercial. Landed. Residential.<br />
Your one stop renovation solution 💫</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-20,member-list,https://renoresearch.sg/member-list/loft-concept-sg/,https://renoresearch.sg/wp-content/uploads/2025/02/LoftConcept-SG-Logo.jpg,"LoftConcept SG Logo",https://renoresearch.sg/wp-content/uploads/2025/02/LoftConcept-SG-Logo.jpg
"Home Design Studio","Home Design Studio","'+65 9649 3589",sales@homedesignstudio.sg,"55 Changi Road #02-24 The Millage Singapore (419709)","HDB (BTO)",Asian,30001-50000,"<p>Established in 2018, Home Design Studio offers a full range of interior design and project management services that span across residential and commercial projects. Each of our interior design renovation works reflect our design inspiration and passion to bring our clients’ dream home to life.</p>
<p>We believe that an ultimate space planning should bridge design and living, with a perfect balance of functionality and aesthetic design. It consists of the harmony between human, their activities, and the environment.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-20,member-list,https://renoresearch.sg/member-list/home-design-studio/,https://renoresearch.sg/wp-content/uploads/2025/02/Home-Design-Studio-Logo.jpg,"Home Design Studio Logo",https://renoresearch.sg/wp-content/uploads/2025/02/Home-Design-Studio-Logo.jpg
"Nelia Esoteriko","Nelia Esoteriko","'+65 8840 6181",nelia.esoteriko@gmail.com,"101 Yishun Ave 5, #02-31, Singapore 760101","HDB (BTO)",Asian,30001-50000,"<div class=""et_pb_column et_pb_column_1_3 et_pb_column_9 ne-home-about-column  et_pb_css_mix_blend_mode_passthrough"">
<div class=""et_pb_module et_pb_text et_pb_text_5  et_pb_text_align_left et_pb_bg_layout_light"">
<div class=""et_pb_text_inner"">
<p>Nelia Esoteriko is an interior design company that provides different services to home or commercial.</p>
<p>“Esoteriko” in greek = interior A design firm that provides you a visual of your unit with a mock-up.</p>
<p>Nelia Esoteriko focuses on elegance, opulence and bespoke design and craft the ideal interior based on the understanding and aspirations of their client</p>
</div>
</div>
</div>
<div class=""et_pb_column et_pb_column_1_3 et_pb_column_10 ne-home-about-column  et_pb_css_mix_blend_mode_passthrough et-last-child"">
<div class=""et_pb_module et_pb_text et_pb_text_6  et_pb_text_align_left et_pb_bg_layout_light"">
<div class=""et_pb_text_inner"">
<p>Nelia Esoteriko emphasizes the good balance of design and function, materials, detailing and precision combined with practical problem solving unique to each project.</p>
<p>The talented team aims to deliver results that speak of intimacy and identity. Before the start of each project, a depth personality study with its clients will be conducted before delving into the design aspects</p>
</div>
</div>
<div class=""et_pb_module et_pb_text et_pb_text_7  et_pb_text_align_right et_pb_bg_layout_light"">
<div class=""et_pb_text_inner""></div>
</div>
</div>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-20,member-list,https://renoresearch.sg/member-list/nelia-esoteriko/,https://renoresearch.sg/wp-content/uploads/2025/02/Nelia-Esoteriko-Logo.jpg,"Nelia Esoteriko Logo",https://renoresearch.sg/wp-content/uploads/2025/02/Nelia-Esoteriko-Logo.jpg
"Carpentry Guys","Carpentry Guys","'+65 8292 0906",sgcarpentryguys@gmail.com,"8B Admiralty Street, #03-10, S(757440)","HDB (BTO)",Asian,30001-50000,"<p>At Carpentry Guys Pte Ltd, we bring together functionality and elegance to elevate every corner of your home. 🛠️</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-20,member-list,https://renoresearch.sg/member-list/carpentry-guys/,https://renoresearch.sg/wp-content/uploads/2025/02/Carpentry-Guys-Logo.jpg,"Carpentry Guys Logo",https://renoresearch.sg/wp-content/uploads/2025/02/Carpentry-Guys-Logo.jpg
"EDM CONCEPT &amp; SERVICES","EDM CONCEPT &amp; SERVICES PTE. LTD.","'+65 8089 6605",general.edm@outlook.com,"2 Venture Drive, #14-02 Singapore 608526","HDB (BTO)",Asian,30001-50000,"<p>Specialize in Interior Design services.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-20,member-list,https://renoresearch.sg/member-list/edm-concept-services/,https://renoresearch.sg/wp-content/uploads/2025/02/EDM-Concept-Services-Logo.png,"EDM Concept & Services Logo",https://renoresearch.sg/wp-content/uploads/2025/02/EDM-Concept-Services-Logo.png
"Design Direct","Design Direct","'+65 9789 7249",enquiry@designdirectsg.com,"67 Ubi Road 1, Lobby 1, #08-12, Oxley Bizhub 1 408730","HDB (BTO)",Asian,30001-50000,"<p>Creating value in providing tailor-made design solutions to individuals and businesses.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:4:""true"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-20,member-list,https://renoresearch.sg/member-list/design-direct/,https://renoresearch.sg/wp-content/uploads/2025/02/Design-Direct-Logo.jpg,"Design Direct Logo",https://renoresearch.sg/wp-content/uploads/2025/02/Design-Direct-Logo.jpg
"Dimore Studio","Dimore Studio","'+65 9457 4788",dimorestudio1121@gmail.com,"7 Marsiling Drive, #10-52 Marsiling Gaden, Singapore 730007","HDB (BTO)",Asian,30001-50000,"<p>At Dimore Studio, we are passionate about transforming spaces into captivating and functional environments. As a leading interior design firm, we specialize in creating bespoke designs that harmonize aesthetics and practicality. From residential to commercial projects, our team of skilled designers is committed to turning your vision into reality.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-20,member-list,https://renoresearch.sg/?post_type=member-list&p=8662,https://renoresearch.sg/wp-content/uploads/2025/02/Dimore-Studio.png,"Dimore Studio",https://renoresearch.sg/wp-content/uploads/2025/02/Dimore-Studio.png
"The Metis Designers Firm","The Metis Designers Firm","'+65 8717 7787",andyang@themetis.space,"42 Foch Road #02-01 Singapore 209269","HDB (BTO)",Asian,30001-50000,"<p>The Metis Designers aim is to deliver inspired designs that fulfill client expectations through collaboration and exceptional service.</p>
<p>Our aim to create unique, innovative and functional spaces for our clients.</p>
<p>Committed to delivering inspired designs that fulfil client expectations through collaboration and exceptional service, we look forward to work on designing and planning for your dream space!</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-20,member-list,https://renoresearch.sg/member-list/the-metis-designers-firm/,https://renoresearch.sg/wp-content/uploads/2025/02/The-Metis-Designers-Firm-Logo.jpg,"The Metis Designers Firm Logo",https://renoresearch.sg/wp-content/uploads/2025/02/The-Metis-Designers-Firm-Logo.jpg
"Rong Chen Decoration","Rong Chen Decoration PTE LTD","'+65 9109 6898",skkwek6898@gmail.com,"449B BUKIT BATOK WEST AVENUE 9 #02-92 WEST VALLEY @ BUKIT BATOK SINGAPORE (652449)","HDB (BTO)",Asian,30001-50000,"<p>Electrical works with other construction installation.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-20,member-list,https://renoresearch.sg/member-list/rong-chen-decoration/,https://renoresearch.sg/wp-content/uploads/2025/02/RONG-CHEN-DECORATION-Logo.png,"RONG CHEN DECORATION Logo",https://renoresearch.sg/wp-content/uploads/2025/02/RONG-CHEN-DECORATION-Logo.png
"ANSANA Interior Design","ANSANA INTERIOR DESIGN STUDIO","'+65 9001 1283",yowandyyow@gmail.com,"6 Raffles Boulevard, Marina Square #03-308. Singapore 039594","HDB (BTO)",Asian,30001-50000,"<p>Founded in 1993, Ansana is a Singapore interior design studio, creating arty yet practical interiors for international and local clients in Switzerland, India, the United Kingdom, Indonesia, Malaysia and hometown Singapore.</p>
<p>Ansana is committed to creative excellence, great workmanship and ensuring permanency. Ansana was featured in the Homes Magazine. Interior design can be often seen as only available for the wealthy. Ansana hopes to challenge that perception and provide interior designs for all. Our team consist of hard-working individuals with special skills and patience to listen and coming up with solutions that will meet your ideal home and budget. Whether an office, retail interior, residential landed homes or condominiums, Ansana’s three decades of experience adds value to your property.</p>
<p>Ansana’s only limitation is your imagination.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-21,member-list,https://renoresearch.sg/member-list/ansana-interior-design/,https://renoresearch.sg/wp-content/uploads/2025/02/Ansana-Interior-Design.png|https://renoresearch.sg/wp-content/uploads/2025/02/Ansana-Interior-Design-Logo.jpg,"Ansana Interior Design|Ansana Interior Design Logo",https://renoresearch.sg/wp-content/uploads/2025/02/Ansana-Interior-Design.png
"SG RenoExpert","SG RenoExpert","'+65 8591 3686",enquiry.renoexpert@gmail.com,"531A UPPER CROSS STREET #04-95 HONG LIM COMPLEX SINGAPORE (051531)","HDB (BTO)",Asian,30001-50000,"<p>RenoExpert provides a full range of renovation services in Singapore at the best affordable prices while maintaining excellent quality. From bathroom and kitchen renovations to complete home transformations, we ensure quality services for every budget.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-21,member-list,https://renoresearch.sg/member-list/sg-renoexpert/,https://renoresearch.sg/wp-content/uploads/2025/02/SG-RenoExpert-Logo.jpg,"SG RenoExpert Logo",https://renoresearch.sg/wp-content/uploads/2025/02/SG-RenoExpert-Logo.jpg
"Lune Designs","Lune Designs","'+65 8054 0279",andylimtzuwei@gmail.com,"10 bukit batok crescent the spire 658079","HDB (BTO)",Asian,30001-50000,"<p>Specialize in Interior Design services.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-21,member-list,https://renoresearch.sg/member-list/lune-designs/,https://renoresearch.sg/wp-content/uploads/2025/02/LUNE-DESIGNS.png,"LUNE DESIGNS",https://renoresearch.sg/wp-content/uploads/2025/02/LUNE-DESIGNS.png
"Essential I.D","Essential I.D","'+65 8370 2008",essential.id2013@gmail.com,"47 TANGLIN HALT ROAD #01-315 SINGAPORE (141047)","HDB (BTO)",Asian,30001-50000,"<p>We provides interior renovation, design &amp; build for HDB, private &amp; commercial property.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-21,member-list,https://renoresearch.sg/member-list/essential-i-d/,https://renoresearch.sg/wp-content/uploads/2025/02/Essentials-ID-Logo.png|https://renoresearch.sg/wp-content/uploads/2025/02/Essential-I.D-Logo.png,"Essentials ID Logo|Essential I.D Logo",https://renoresearch.sg/wp-content/uploads/2025/02/Essentials-ID-Logo.png
"Original Copy Design Studio","Original Copy Design Studio","'+65 8111 9199",hello@ocds.sg,"1 Woodlands Sector 1, Singapore 738309","HDB (BTO)",Asian,30001-50000,"<p>Original Copy encapsulates art and science into interior design, fully enhancing space for work or living in liaison with their clients' conceptualization.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-21,member-list,https://renoresearch.sg/member-list/original-copy-design-studio/,https://renoresearch.sg/wp-content/uploads/2025/02/Original-Copy-Design-Studio-Logo.png,"Original Copy Design Studio Logo",https://renoresearch.sg/wp-content/uploads/2025/02/Original-Copy-Design-Studio-Logo.png
"8855 Interior","8855 Interior","'+65 8811 8855",martinfoo_1717@yahoo.com.sg,"400 Balestier Road #02-14 Balestier Plaza, Singapore 329802","HDB (BTO)",Asian,30001-50000,"<p>""Every company's greatest assets are its customers, because without customers there is no company.""</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-21,member-list,https://renoresearch.sg/member-list/8855-interior/,https://renoresearch.sg/wp-content/uploads/2025/02/8855-Interior-Logo.jpg,"8855 Interior Logo",https://renoresearch.sg/wp-content/uploads/2025/02/8855-Interior-Logo.jpg
HOME4U,"HOME4U Pte. Ltd.","'+65 9832 4945",home4u.pte.ltd@gmail.com,"203 Henderson Road Henderson Industrial Park #11-06A Wing A Singapore 159546, 159546","HDB (BTO)",Asian,30001-50000,"<p>Home 4 U Pte Ltd, specializing in interior design, focuses on transforming spaces into aesthetically pleasing, functional and personalized environments. We offers end-to-end design services, from conceptualization and space planning to execution and final styling. Whether it’s for residential, commercial or corporate properties, Home4U creates custom designs tailored to meet the unique needs and preferences of each client.</p>
<p>Our team of skilled designers combines creativity with practicality to bring visions to life, while ensuring that the design is both stylish and functional. With a commitment to quality, attention to detail and customer satisfaction, Home4U strives to create spaces that reflect their clients’ personalities while enhancing comfort and style.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-02-24,member-list,https://renoresearch.sg/member-list/home4u/,https://renoresearch.sg/wp-content/uploads/2025/02/Home4u-Pte-Ltd-Logo.jpg,"Home4u Pte Ltd Logo",https://renoresearch.sg/wp-content/uploads/2025/02/Home4u-Pte-Ltd-Logo.jpg
